availability_last_update,dayquery,hourquery,available_bikes,temperature,wind_speed,pressure,humidity,weather_main
"11th March 2023",Saturday,9,30,276.13,1.54,1020,92,Clear
"11th March 2023",Saturday,9,30,276.13,1.54,1020,92,Clear
"11th March 2023",Saturday,9,30,276.13,1.54,1020,92,Clear
"11th March 2023",Saturday,9,30,276.13,1.54,1020,92,Clear
"11th March 2023",Saturday,9,30,276.97,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,276.97,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,277.04,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,277.04,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,277.04,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,276.36,1.54,1020,90,Clear
"11th March 2023",Saturday,9,30,277.46,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.46,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.32,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.32,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.32,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.35,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,277.2,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276.69,1.54,1020,87,Clear
"11th March 2023",Saturday,9,30,276.69,1.54,1020,87,Clear
"11th March 2023",Saturday,9,30,275.89,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,276.61,1.54,1020,87,Clear
"11th March 2023",Saturday,9,30,276.61,1.54,1020,87,Clear
"11th March 2023",Saturday,9,30,275.79,1.54,1020,90,Clear
"11th March 2023",Saturday,9,30,275.79,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,276.41,2.06,1020,87,Clear
"11th March 2023",Saturday,9,30,276.41,2.06,1020,87,Clear
"11th March 2023",Saturday,9,30,275.54,2.06,1020,89,Clear
"11th March 2023",Saturday,9,30,275.69,1.54,1020,89,Clear
"11th March 2023",Saturday,9,30,275.78,1.03,1020,88,Clear
"11th March 2023",Saturday,9,30,275.78,1.03,1020,88,Clear
"11th March 2023",Saturday,9,30,275.78,1.03,1020,88,Clear
"11th March 2023",Saturday,9,30,275.78,1.03,1020,88,Clear
"11th March 2023",Saturday,9,30,276.11,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276.11,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276.08,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276.08,1.54,1020,88,Clear
"11th March 2023",Saturday,9,30,276.41,1.54,1020,87,Clear
"11th March 2023",Saturday,9,30,277.18,1.03,1020,86,Clouds
"11th March 2023",Saturday,9,30,277.18,1.03,1020,86,Clouds
"11th March 2023",Saturday,9,30,277.18,1.03,1020,86,Clouds
"11th March 2023",Saturday,9,30,277.18,1.03,1020,86,Clouds
"11th March 2023",Saturday,9,30,276.6,2.57,1020,88,Clouds
"11th March 2023",Saturday,9,30,276.6,2.57,1020,88,Clouds
"11th March 2023",Saturday,9,30,276.73,2.57,1020,88,Clouds
"11th March 2023",Saturday,9,30,276.73,2.57,1020,88,Clouds
"11th March 2023",Saturday,9,30,276.84,2.57,1020,87,Clouds
"11th March 2023",Saturday,9,30,276.84,2.57,1020,87,Clouds
"11th March 2023",Saturday,9,30,277.66,2.57,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.08,0.89,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.08,0.89,1020,84,Clouds
"11th March 2023",Saturday,9,30,277.97,1.54,1020,85,Clouds
"11th March 2023",Saturday,9,30,278.03,1.54,1020,85,Clouds
"11th March 2023",Saturday,9,30,278.12,1.54,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.12,1.54,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.12,1.54,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.24,1.54,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.24,1.54,1020,84,Clouds
"11th March 2023",Saturday,9,30,277.8,2.06,1020,84,Clouds
"11th March 2023",Saturday,9,30,277.8,2.06,1020,84,Clouds
"11th March 2023",Saturday,9,30,277.91,2.06,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.5,2.57,1020,82,Clear
"11th March 2023",Saturday,9,30,278.5,2.57,1020,82,Clear
"11th March 2023",Saturday,9,30,278.5,2.57,1020,82,Clear
"11th March 2023",Saturday,9,30,278.23,2.57,1020,84,Clouds
"11th March 2023",Saturday,9,30,278.36,2.57,1020,83,Clouds
"11th March 2023",Saturday,9,30,278.45,2.57,1020,83,Clouds
"11th March 2023",Saturday,9,30,278.45,2.57,1020,83,Clouds
"11th March 2023",Saturday,9,30,278.71,3.09,1020,81,Clouds
"11th March 2023",Saturday,9,30,278.71,3.09,1020,80,Clouds
"11th March 2023",Saturday,9,30,278.89,3.09,1020,80,Clouds
"11th March 2023",Saturday,9,30,278.97,3.09,1020,80,Clouds
"11th March 2023",Saturday,9,30,279.25,3.09,1020,79,Clouds
"11th March 2023",Saturday,9,30,279.37,3.09,1020,79,Clouds
"11th March 2023",Saturday,9,30,279.37,3.09,1020,79,Clouds
"11th March 2023",Saturday,9,30,279.6,4.12,1020,78,Clouds
"11th March 2023",Saturday,9,30,279.6,4.12,1020,78,Clouds
"11th March 2023",Saturday,9,30,279.75,4.12,1020,78,Clouds
"11th March 2023",Saturday,9,30,279.75,4.12,1020,78,Clouds
"11th March 2023",Saturday,9,30,280.01,3.6,1020,78,Clouds
"11th March 2023",Saturday,9,30,280.01,3.6,1020,78,Clouds
"11th March 2023",Saturday,9,30,280.01,3.6,1020,78,Clouds
"11th March 2023",Saturday,9,30,280.2,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,280.2,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,280.2,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,280.12,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,280.63,3.09,1020,77,Clouds
"11th March 2023",Saturday,9,30,279.65,3.09,1019,80,Clouds
"11th March 2023",Saturday,9,30,279.65,3.09,1019,80,Clouds
"11th March 2023",Saturday,9,30,279.87,3.09,1019,80,Clouds
"11th March 2023",Saturday,9,30,279.87,3.09,1019,79,Clouds
"11th March 2023",Saturday,9,30,279.87,3.09,1019,79,Clouds
"11th March 2023",Saturday,9,30,279.87,3.09,1019,79,Clouds
"11th March 2023",Saturday,9,30,280.09,3.09,1019,79,Clouds
"11th March 2023",Saturday,9,30,280.7,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,280.7,3.6,1020,77,Clouds
"11th March 2023",Saturday,9,30,281.39,3.6,1019,74,Clouds
"11th March 2023",Saturday,9,30,281.61,3.6,1019,74,Clouds
"11th March 2023",Saturday,9,30,281.61,3.6,1019,73,Clouds
"11th March 2023",Saturday,9,30,281.61,3.6,1019,73,Clouds
"11th March 2023",Saturday,9,30,281.97,4.12,1019,69,Clouds
"11th March 2023",Saturday,9,30,282.42,4.12,1019,70,Clouds
"11th March 2023",Saturday,9,30,282.42,4.12,1019,70,Clouds
"11th March 2023",Saturday,9,30,282.42,4.12,1019,70,Clouds
"11th March 2023",Saturday,9,30,282.42,4.12,1019,70,Clouds
"11th March 2023",Saturday,9,30,283.51,4.12,1018,62,Clouds
"11th March 2023",Saturday,9,30,283.51,4.12,1018,62,Clouds
"11th March 2023",Saturday,9,30,283.51,4.12,1018,62,Clouds
"11th March 2023",Saturday,9,30,283.51,4.12,1018,62,Clouds
"11th March 2023",Saturday,9,30,283.51,4.12,1018,62,Clouds
"11th March 2023",Saturday,9,30,284.51,5.66,1018,58,Clouds
"11th March 2023",Saturday,9,30,284.51,5.66,1018,58,Clouds
"11th March 2023",Saturday,9,30,285.11,5.66,1018,58,Clouds
"11th March 2023",Saturday,9,30,285.11,5.66,1018,58,Clouds
"11th March 2023",Saturday,9,30,285.11,5.66,1018,58,Clouds
"11th March 2023",Saturday,9,30,285.11,5.66,1018,59,Clouds
"11th March 2023",Saturday,9,30,285.16,6.69,1018,59,Clouds
"11th March 2023",Saturday,9,30,285.18,6.69,1018,59,Clouds
"11th March 2023",Saturday,9,30,285.26,6.69,1018,57,Clouds
"11th March 2023",Saturday,9,30,285.26,6.69,1018,57,Clouds
"11th March 2023",Saturday,9,30,285.34,6.69,1018,57,Clouds
"11th March 2023",Saturday,9,30,285.36,6.17,1018,58,Clouds
"11th March 2023",Saturday,9,30,285.98,6.17,1017,55,Clouds
"11th March 2023",Saturday,9,30,285.98,6.17,1017,55,Clouds
"11th March 2023",Saturday,9,30,285.98,6.17,1017,55,Clouds
"11th March 2023",Saturday,9,30,285.78,8.23,1017,59,Clouds
"11th March 2023",Saturday,9,30,285.78,8.23,1017,59,Clouds
"11th March 2023",Saturday,9,30,285.79,8.23,1017,58,Clouds
"11th March 2023",Saturday,9,30,285.79,8.23,1017,58,Clouds
"11th March 2023",Saturday,9,30,285.85,8.23,1017,57,Clouds
"11th March 2023",Saturday,9,30,285.85,8.23,1017,57,Clouds
"11th March 2023",Saturday,9,30,285.94,8.23,1017,55,Clouds
"11th March 2023",Saturday,9,30,286.32,6.69,1017,53,Clouds
"11th March 2023",Saturday,9,30,286.32,6.69,1017,54,Clouds
"11th March 2023",Saturday,9,30,286.32,6.69,1017,54,Clouds
"11th March 2023",Saturday,9,30,286.32,6.69,1017,54,Clouds
"11th March 2023",Saturday,9,30,285.96,7.72,1017,58,Clouds
"11th March 2023",Saturday,9,30,285.84,7.72,1017,59,Clouds
"11th March 2023",Saturday,9,30,285.84,7.72,1017,59,Clouds
"11th March 2023",Saturday,9,30,285.78,7.72,1017,59,Clouds
"11th March 2023",Saturday,9,30,286.34,5.14,1017,55,Clouds
"11th March 2023",Saturday,9,30,286.17,5.14,1017,55,Clouds
"11th March 2023",Saturday,9,30,286.17,5.14,1017,55,Clouds
"11th March 2023",Saturday,9,30,286.2,6.17,1017,54,Clouds
"11th March 2023",Saturday,9,30,286.2,6.17,1017,54,Clouds
"11th March 2023",Saturday,9,30,286.2,6.17,1017,54,Clouds
"11th March 2023",Saturday,9,30,286.11,6.17,1017,54,Clouds
"11th March 2023",Saturday,9,30,286.1,6.17,1017,54,Clouds
"11th March 2023",Saturday,9,30,286.1,6.17,1017,55,Clouds
"11th March 2023",Saturday,9,30,286.2,8.23,1017,55,Clouds
"11th March 2023",Saturday,9,30,286.34,8.23,1017,54,Clouds
"11th March 2023",Saturday,9,30,285.75,8.23,1017,57,Clouds
"11th March 2023",Saturday,9,30,285.83,8.23,1017,57,Clouds
"11th March 2023",Saturday,9,30,285.83,8.23,1017,57,Clouds
"11th March 2023",Saturday,9,30,286.24,8.23,1017,54,Clouds
"11th March 2023",Saturday,9,30,285.84,6.17,1017,54,Clouds
"11th March 2023",Saturday,9,30,286.03,6.17,1017,54,Clouds
"11th March 2023",Saturday,9,30,286.03,6.17,1017,54,Clouds
"11th March 2023",Saturday,9,30,286.03,6.17,1017,54,Clouds
"11th March 2023",Saturday,9,30,285.23,6.69,1017,58,Clouds
"11th March 2023",Saturday,9,30,285.23,6.69,1017,58,Clouds
"11th March 2023",Saturday,9,30,285.32,6.69,1017,60,Clouds
"11th March 2023",Saturday,9,30,285.32,6.69,1017,60,Clouds
"11th March 2023",Saturday,9,30,285.45,6.69,1017,60,Clouds
"11th March 2023",Saturday,9,30,285.14,5.14,1017,61,Clouds
"11th March 2023",Saturday,9,30,285.31,5.14,1016,61,Clouds
"11th March 2023",Saturday,9,30,285.2,6.69,1016,62,Clouds
"11th March 2023",Saturday,9,30,285.07,6.69,1016,63,Clouds
"11th March 2023",Saturday,9,30,285.07,6.69,1016,63,Clouds
"11th March 2023",Saturday,9,30,285.07,6.69,1016,63,Clouds
"11th March 2023",Saturday,9,30,284.93,6.69,1016,64,Clouds
"11th March 2023",Saturday,9,30,284.93,6.69,1016,64,Clouds
"11th March 2023",Saturday,9,30,284.62,6.69,1016,65,Clouds
"11th March 2023",Saturday,9,30,284.62,6.69,1016,65,Clouds
"11th March 2023",Saturday,9,30,284.52,6.69,1016,65,Clouds
"11th March 2023",Saturday,9,30,284.52,6.69,1016,65,Clouds
"11th March 2023",Saturday,9,30,284.52,6.69,1016,65,Clouds
"11th March 2023",Saturday,9,30,284.29,6.69,1016,66,Clouds
"11th March 2023",Saturday,9,30,284.19,6.69,1016,67,Clouds
"11th March 2023",Saturday,9,30,284.13,6.69,1016,68,Clouds
"11th March 2023",Saturday,9,30,283.62,6.69,1016,69,Clouds
"11th March 2023",Saturday,9,30,283.5,6.69,1016,69,Clouds
"11th March 2023",Saturday,9,30,283.31,6.69,1016,69,Clouds
"11th March 2023",Saturday,9,30,283.31,6.69,1016,70,Clouds
"11th March 2023",Saturday,9,30,283.29,6.17,1016,72,Clouds
"11th March 2023",Saturday,9,30,283.29,6.17,1016,72,Clouds
"11th March 2023",Saturday,9,30,283.43,6.17,1016,73,Clouds
"11th March 2023",Saturday,9,30,282.98,6.17,1016,73,Clouds
"11th March 2023",Saturday,9,30,282.52,6.17,1016,76,Clouds
"11th March 2023",Saturday,9,30,282.81,6.17,1016,76,Clouds
"11th March 2023",Saturday,9,30,282.81,6.17,1016,76,Clouds
"11th March 2023",Saturday,9,30,282.81,6.17,1016,76,Clouds
"11th March 2023",Saturday,9,30,282.15,4.63,1016,79,Clouds
"11th March 2023",Saturday,9,30,282.1,5.66,1015,82,Clouds
"11th March 2023",Saturday,9,30,282.1,5.66,1015,83,Clouds
"11th March 2023",Saturday,9,30,281.91,5.66,1015,84,Clouds
"11th March 2023",Saturday,9,30,281.96,5.66,1015,84,Clouds
"11th March 2023",Saturday,9,30,281.76,5.66,1015,85,Clouds
"11th March 2023",Saturday,9,30,281.61,4.63,1015,87,Clouds
"11th March 2023",Saturday,9,30,281.61,4.63,1015,87,Clouds
"11th March 2023",Saturday,9,30,281.5,4.63,1015,88,Clouds
"11th March 2023",Saturday,9,30,280.89,4.63,1014,90,Clouds
"11th March 2023",Saturday,9,30,280.89,4.63,1014,90,Clouds
"11th March 2023",Saturday,9,30,280.8,4.63,1014,91,Clouds
"11th March 2023",Saturday,9,30,280.69,4.63,1014,91,Clouds
"11th March 2023",Saturday,9,30,280.69,4.63,1014,91,Clouds
"11th March 2023",Saturday,9,30,280.69,4.63,1015,90,Clouds
"11th March 2023",Saturday,9,30,280.69,4.63,1014,89,Clouds
"11th March 2023",Saturday,9,30,280.69,4.63,1014,89,Clouds
"11th March 2023",Saturday,9,30,280.69,4.63,1014,89,Clouds
"11th March 2023",Saturday,9,30,280.69,4.63,1014,89,Clouds
"11th March 2023",Saturday,9,30,280.71,3.6,1014,90,Rain
"11th March 2023",Saturday,9,30,280.71,3.6,1014,90,Rain
"11th March 2023",Saturday,9,30,280.71,3.6,1014,90,Clouds
"11th March 2023",Saturday,9,30,280.71,3.6,1014,90,Clouds
"11th March 2023",Saturday,9,30,280.71,3.6,1014,90,Clouds
"11th March 2023",Saturday,9,30,280.42,4.12,1014,91,Clouds
"11th March 2023",Saturday,9,30,280.36,4.12,1014,92,Clouds
"11th March 2023",Saturday,9,30,280.36,4.12,1014,91,Clouds
"11th March 2023",Saturday,9,30,280.57,4.12,1014,91,Rain
"11th March 2023",Saturday,9,30,280.7,4.63,1014,89,Rain
"11th March 2023",Saturday,9,30,280.78,4.63,1014,87,Rain
"11th March 2023",Saturday,9,30,280.78,4.63,1014,87,Rain
"11th March 2023",Saturday,9,30,280.78,4.63,1014,87,Clouds
"11th March 2023",Saturday,9,30,280.78,4.63,1014,87,Clouds
"11th March 2023",Saturday,9,30,280.83,1.79,1013,86,Rain
"11th March 2023",Saturday,9,30,280.57,4.12,1013,87,Rain
"11th March 2023",Saturday,9,30,280.57,4.12,1013,87,Rain
"11th March 2023",Saturday,9,30,280.57,4.12,1013,87,Rain
"11th March 2023",Saturday,9,30,280.57,4.12,1013,87,Rain
"11th March 2023",Saturday,9,30,280.57,4.12,1013,87,Clouds
"11th March 2023",Saturday,9,30,280.34,3.09,1013,88,Clouds
"11th March 2023",Saturday,9,30,280.34,3.09,1013,88,Clouds
"11th March 2023",Saturday,9,30,280.55,3.09,1013,85,Clouds
"11th March 2023",Saturday,9,30,280.55,5.14,1013,85,Clouds
"11th March 2023",Saturday,9,30,280.49,5.14,1013,86,Clouds
"11th March 2023",Saturday,9,30,280.49,5.14,1013,86,Clouds
"11th March 2023",Saturday,9,30,280.39,5.14,1013,89,Clouds
"11th March 2023",Saturday,9,30,280.39,5.14,1013,89,Clouds
"11th March 2023",Saturday,9,30,280.39,4.12,1013,89,Clouds
"11th March 2023",Saturday,9,30,280.39,4.12,1013,89,Rain
"11th March 2023",Saturday,9,30,280.39,4.12,1013,89,Rain
"11th March 2023",Saturday,9,30,280.51,4.12,1013,87,Rain
"11th March 2023",Saturday,9,30,280.51,4.12,1013,87,Rain
"11th March 2023",Saturday,9,30,280.51,4.12,1013,87,Rain
"11th March 2023",Saturday,9,30,280.51,3.09,1013,87,Rain
"11th March 2023",Saturday,9,30,280.51,3.09,1013,87,Rain
"11th March 2023",Saturday,9,30,280.51,3.09,1013,87,Clouds
"11th March 2023",Saturday,9,30,280.51,3.09,1013,87,Clouds
"11th March 2023",Saturday,9,30,280.51,3.09,1013,87,Clouds
"11th March 2023",Saturday,9,30,281,3.6,1013,84,Clouds
"11th March 2023",Saturday,9,30,281,3.6,1013,84,Clouds
"11th March 2023",Saturday,9,30,281,3.6,1013,84,Clouds
"11th March 2023",Saturday,9,30,281.11,3.6,1013,84,Clouds
"11th March 2023",Saturday,9,30,281.11,2.68,1013,84,Clouds
"11th March 2023",Saturday,9,30,280.51,3.09,1013,87,Clouds
"11th March 2023",Saturday,9,30,280.51,3.09,1013,87,Clouds
"11th March 2023",Saturday,9,30,280.51,3.09,1013,87,Clouds
"11th March 2023",Saturday,9,30,280.51,3.09,1013,87,Clouds
"11th March 2023",Saturday,9,30,280.51,3.09,1013,87,Clouds
"11th March 2023",Saturday,9,30,281.41,3.09,1013,87,Clouds
"11th March 2023",Saturday,9,30,281.41,3.09,1013,86,Clouds
"11th March 2023",Saturday,9,30,281.41,3.09,1013,86,Clouds
"11th March 2023",Saturday,9,30,281.12,3.09,1013,84,Clouds
"11th March 2023",Saturday,9,30,281.12,3.09,1013,84,Clouds
"11th March 2023",Saturday,9,30,281.24,4.12,1013,84,Clouds
"11th March 2023",Saturday,9,30,281.24,4.12,1013,84,Clouds
"11th March 2023",Saturday,9,30,281.24,4.12,1013,84,Clouds
"11th March 2023",Saturday,9,30,281.61,4.12,1013,83,Clouds
"11th March 2023",Saturday,9,30,281.57,4.12,1013,84,Clouds
"11th March 2023",Saturday,9,30,281.4,4.12,1013,85,Clouds
"11th March 2023",Saturday,9,30,281.4,4.12,1013,85,Clouds
"11th March 2023",Saturday,9,30,281.77,3.09,1013,83,Clouds
"11th March 2023",Saturday,9,30,281.64,3.09,1013,83,Clouds
"11th March 2023",Saturday,9,30,281.76,3.09,1013,83,Clouds
"11th March 2023",Saturday,9,30,281.76,3.09,1013,83,Clouds
"11th March 2023",Saturday,9,30,281.93,2.57,1013,82,Clouds
"11th March 2023",Saturday,9,30,281.93,2.57,1013,82,Clouds
"11th March 2023",Saturday,9,30,282.38,2.57,1013,80,Clouds
"11th March 2023",Saturday,9,30,282.38,2.57,1013,80,Clouds
"11th March 2023",Saturday,9,30,282.7,3.09,1013,79,Clouds
"11th March 2023",Saturday,9,30,282.8,3.09,1013,79,Clouds
"11th March 2023",Saturday,9,30,282.82,3.09,1013,81,Clouds
"11th March 2023",Saturday,9,30,282.8,3.09,1013,81,Clouds
"11th March 2023",Saturday,9,30,282.8,3.09,1013,81,Clouds
"11th March 2023",Saturday,9,30,282.95,3.09,1014,80,Clouds
"11th March 2023",Saturday,9,30,283.26,2.57,1013,80,Clouds
"11th March 2023",Saturday,9,30,283.26,2.57,1013,80,Clouds
"11th March 2023",Saturday,9,30,283.34,2.57,1013,80,Clouds
"11th March 2023",Saturday,9,30,283.34,2.57,1013,80,Clouds
"11th March 2023",Saturday,9,30,283.72,3.09,1014,80,Clouds
"11th March 2023",Saturday,9,30,283.72,3.09,1014,80,Clouds
"11th March 2023",Saturday,9,30,283.93,3.6,1014,82,Clouds
"11th March 2023",Saturday,9,30,283.93,3.6,1014,82,Clouds
"11th March 2023",Saturday,9,30,284.1,3.6,1014,83,Clouds
"11th March 2023",Saturday,9,30,284.1,3.6,1014,83,Clouds
"11th March 2023",Saturday,9,30,283.9,3.6,1014,85,Clouds
"11th March 2023",Saturday,9,30,283.9,3.6,1014,85,Clouds
"11th March 2023",Saturday,9,30,284.02,1.34,1014,84,Clouds
"11th March 2023",Saturday,9,30,284.02,1.34,1014,84,Clouds
"11th March 2023",Saturday,9,30,283.98,3.09,1013,85,Clouds
"11th March 2023",Saturday,9,30,283.7,3.6,1013,87,Clouds
"11th March 2023",Saturday,9,30,283.88,4.63,1013,86,Clouds
"11th March 2023",Saturday,9,30,283.88,4.63,1013,86,Clouds
"11th March 2023",Saturday,9,30,283.88,4.63,1013,86,Clouds
"11th March 2023",Saturday,9,30,283.88,4.63,1014,87,Clouds
"11th March 2023",Saturday,9,30,283.88,4.63,1014,87,Clouds
"11th March 2023",Saturday,9,30,283.88,4.63,1013,87,Clouds
"11th March 2023",Saturday,9,30,284.1,4.63,1014,87,Clouds
"11th March 2023",Saturday,9,30,284.1,4.63,1014,87,Clouds
"11th March 2023",Saturday,9,30,284.03,4.63,1014,87,Clouds
"11th March 2023",Saturday,9,30,284.03,4.63,1014,87,Clouds
"11th March 2023",Saturday,9,30,284.03,4.63,1013,87,Clouds
"11th March 2023",Saturday,9,30,284.19,3.6,1013,88,Clouds
"11th March 2023",Saturday,9,30,284.19,3.6,1013,88,Clouds
"11th March 2023",Saturday,9,30,284.6,3.6,1013,86,Clouds
"11th March 2023",Saturday,9,30,284.71,3.6,1013,86,Clouds
"11th March 2023",Saturday,9,30,285.2,2.06,1013,85,Clouds
"11th March 2023",Saturday,9,30,285.2,2.06,1013,85,Clouds
"11th March 2023",Saturday,9,30,284.89,4.63,1013,86,Clouds
"11th March 2023",Saturday,9,30,284.89,4.63,1013,86,Clouds
"11th March 2023",Saturday,9,30,284.89,4.63,1013,85,Clouds
"11th March 2023",Saturday,9,30,285.07,4.63,1013,83,Clouds
"11th March 2023",Saturday,9,30,285.07,4.63,1013,83,Clouds
"11th March 2023",Saturday,9,30,285.07,4.63,1013,83,Clouds
"11th March 2023",Saturday,9,30,285.07,4.63,1013,83,Clouds
"11th March 2023",Saturday,9,30,285.07,4.63,1013,83,Clouds
"11th March 2023",Saturday,9,30,285.48,2.06,1013,80,Clouds
"11th March 2023",Saturday,9,30,285.44,4.63,1013,83,Clouds
"11th March 2023",Saturday,9,30,285.44,4.63,1013,83,Clouds
